"Company Name",Website,"Job Title","Job URL"
"GXO Logistics, Inc",https://gxo.com/,"Warehouse Shipping Analyst - 1st Shift",https://jobs.gxo.com/job/Fairburn-Warehouse-Shipping-Analyst-1st-Shift-GA-30213/1203078800/
"GXO Logistics, Inc",https://gxo.com/,"HR Administrator",https://jobs.gxo.com/job/Brighouse-HR-Administrator/1202796100/
"GXO Logistics, Inc",https://gxo.com/,"HR Advisor",https://jobs.gxo.com/job/Leeds-HR-Advisor/1202796200/
"GXO Logistics, Inc",https://gxo.com/,"Warehouse Team Leader",https://jobs.gxo.com/job/Daventry-Warehouse-Team-Leader/1202818000/
"GXO Logistics, Inc",https://gxo.com/,"Forklift Operator II - 1st Shift",https://jobs.gxo.com/job/Florence-Forklift-Operator-II-1st-Shift-KY-41042/1202800700/
"GXO Logistics, Inc",https://gxo.com/,"Senior Financial Analyst - Hybrid, Charlotte, NC",https://jobs.gxo.com/job/Charlotte-Senior-Financial-Analyst-Hybrid%2C-Charlotte%2C-NC-NC-28202/1203012000/
"GXO Logistics, Inc",https://gxo.com/,"Senior Financial Analyst - Hybrid, High Point, NC",https://jobs.gxo.com/job/High-Point-Senior-Financial-Analyst-Hybrid%2C-High-Point%2C-NC-NC-27265/1203092000/
"GXO Logistics, Inc",https://gxo.com/,"Clerk - Weekend Night Shift",https://jobs.gxo.com/job/Avon-Clerk-Weekend-Night-Shift-NY-14414/1202786900/
"GXO Logistics, Inc",https://gxo.com/,Teamleader,https://jobs.gxo.com/job/Cheshunt-Teamleader/1190885700/
"GXO Logistics, Inc",https://gxo.com/,"Forklift Operator Lead - Multiple Day Shifts",https://jobs.gxo.com/job/Simi-Valley-Forklift-Operator-Lead-Multiple-Day-Shifts-CA-93065/1191113000/
"GXO Logistics, Inc",https://gxo.com/,"Quality Manager - 1st shift",https://jobs.gxo.com/job/Hillsboro-Quality-Manager-1st-shift-OR-97124/1191065300/
"GXO Logistics, Inc",https://gxo.com/,"Lead - Weekend Day Shift",https://jobs.gxo.com/job/Council-Bluffs-Lead-Weekend-Day-Shift-IA-51503/1190813900/
"GXO Logistics, Inc",https://gxo.com/,"Warehouse Operative",https://jobs.gxo.com/job/Swindon-Warehouse-Operative/1190794100/
"GXO Logistics, Inc",https://gxo.com/,"Operations Supervisor - 1st Shift",https://jobs.gxo.com/job/Tracy-Operations-Supervisor-1st-Shift-CA-95304/1191019000/
"GXO Logistics, Inc",https://gxo.com/,"Driver CDL - 2nd shift",https://jobs.gxo.com/job/Swedesboro-Driver-CDL-2nd-shift-NJ-08085/1202145500/
"GXO Logistics, Inc",https://gxo.com/,"Lead - 2nd Shift",https://jobs.gxo.com/job/Omaha-Lead-2nd-Shift-NE-68138/1202327300/
"GXO Logistics, Inc",https://gxo.com/,"Lead II - 2nd Shift",https://jobs.gxo.com/job/Des-Moines-Lead-II-2nd-Shift-IA-50313/1202334600/
"GXO Logistics, Inc",https://gxo.com/,"Lead - 2nd Shift",https://jobs.gxo.com/job/Plainfield-Lead-2nd-Shift-IN-46168/1202321700/
"GXO Logistics, Inc",https://gxo.com/,"Lead - 1st Shift",https://jobs.gxo.com/job/The-Dalles-Lead-1st-Shift-OR-97058/1202321600/
"GXO Logistics, Inc",https://gxo.com/,"7.5T Driver",https://jobs.gxo.com/job/Chester-7_5T-Driver/1202505300/
"GXO Logistics, Inc",https://gxo.com/,"Driver CDL - All Shifts",https://jobs.gxo.com/job/Hanahan-Driver-CDL-All-Shifts-SC-29410/1202687500/
"GXO Logistics, Inc",https://gxo.com/,"Clerk II - 1st Shift",https://jobs.gxo.com/job/Clayton-Clerk-II-1st-Shift-IN-46118/1202564700/
"GXO Logistics, Inc",https://gxo.com/,"Warehouse Operative",https://jobs.gxo.com/job/Tamworth-Warehouse-Operative/1202503000/
"GXO Logistics, Inc",https://gxo.com/,"Warehouse Operations Supervisor - 2nd Shift",https://jobs.gxo.com/job/Omaha-Warehouse-Operations-Supervisor-2nd-Shift-NE-68138/1202553000/
"GXO Logistics, Inc",https://gxo.com/,"HR Administrator",https://jobs.gxo.com/job/Barnsley-HR-Administrator/1202387400/
"GXO Logistics, Inc",https://gxo.com/,"IT Systems Manager - Logistics",https://jobs.gxo.com/job/Crick-IT-Systems-Manager-Logistics/1202380700/
"GXO Logistics, Inc",https://gxo.com/,"Manager, Inventory Control - Remote",https://jobs.gxo.com/job/High-Point-Manager%2C-Inventory-Control-Remote-NC-27265/1202407600/
"GXO Logistics, Inc",https://gxo.com/,"Class 1 Driver",https://jobs.gxo.com/job/Sherburn-in-Elmet-Class-1-Driver/1202386700/
"GXO Logistics, Inc",https://gxo.com/,"Warehouse Team Leader (Nights)",https://jobs.gxo.com/job/Tamworth-Warehouse-Team-Leader-%28Nights%29/1202427900/
"GXO Logistics, Inc",https://gxo.com/,"7.5T Driver",https://jobs.gxo.com/job/Norwich-7_5T-Driver/1202488000/
"GXO Logistics, Inc",https://gxo.com/,"Lead - 2nd Shift",https://jobs.gxo.com/job/Des-Moines-Lead-2nd-Shift-IA-50313/1202328100/
"GXO Logistics, Inc",https://gxo.com/,"Director, Account Management",https://jobs.gxo.com/job/High-Point-Director%2C-Account-Management-NC-27265/1202740800/
